date,rating,review
2020.05.01. 19:07,"별점(10점 만점 중)
9",잘가요 어벤져스 그동안 고생했어요
2019.04.26. 05:25,"별점(10점 만점 중)
10",완벽한 결말 이런 영화는 다시 나올 수 없을 만큼 완벽하다
2022.04.13. 22:25,"별점(10점 만점 중)
10",전율! 카타르시스! 오르가즘!
2019.06.19. 10:31,"별점(10점 만점 중)
10",어벤져스들 전부 소집됫을때 계속소름;;;;
2019.04.28. 22:17,"별점(10점 만점 중)
10",눈물난다 보내시싫다...
2020.03.12. 15:00,"별점(10점 만점 중)
10",인피니티워가 시원한 다크판타지류 액션영화엿다면 엔드게임은 10년의 시간을 정리하는 휴먼드라마네 sf를 보고 이만큼 감동을 할수 잇을런지 시리즈물중에 어벤져스를 능가하는 작품은 나오...
2020.05.01. 19:07,8,잘가요 어벤져스 그동안 고생했어요
2019.04.27. 23:22,"별점(10점 만점 중)
10",나의 토르를 돌려주세요
2019.04.26. 01:54,"별점(10점 만점 중)
8",토를를 왜..? 재미있긴했는데
2020.05.14. 13:22,"별점(10점 만점 중)
10",기대함대로.
2024.04.28. 17:04,"별점(10점 만점 중)
10",타임머신타고 5년 전으로 돌아가고 싶네요 처음 엔드게임 보던 그때로... 그립습니다 마블
2019.04.25. 19:42,"별점(10점 만점 중)
10",진짜 꼭봐야합니다 평점 3000만큼 주고싶네
2019.04.24. 10:49,"별점(10점 만점 중)
10",꼭 봐야 한다. 꼭. 꼭.
2019.04.29. 12:39,"별점(10점 만점 중)
10",3시간이 1시간 같다 진짜 최고였음 근데 토르 꼭 그렇게 묘사해야만 했나ㅠ
2019.04.25. 06:11,"별점(10점 만점 중)
10",3시간동안 넋놓고 봤다...
2019.04.26. 00:30,"별점(10점 만점 중)
10",극한직업보다 3000배 재미있음..
2020.05.11. 17:30,"별점(10점 만점 중)
10",재미있다아
2019.04.24. 12:27,"별점(10점 만점 중)
10","3000만큼 재밌었고 감동, 유머까지 ㅠㅜ3시간이아니라 좀 더 길었으면 하는 마음이 생깁니다♥♥"
2022.07.23. 17:11,"별점(10점 만점 중)
10",
2020.05.01. 15:55,"별점(10점 만점 중)
10",역시 마블 대박입니다 후반부 액션 대박이에영 소름돋음 웃음포인트도 있고 재밌어요
2020.05.01. 20:13,"별점(10점 만점 중)
10",으벤져스! 어셈블.이한마디로 끝
2019.04.26. 02:07,"별점(10점 만점 중)
10",웃고 울고 .. 넘모재밌는것
2019.04.24. 17:55,"별점(10점 만점 중)
10",마실것사서 영화관 입장하지마세요 방광터집니다
2019.04.24. 21:50,"별점(10점 만점 중)
10",진짜인생영화다 온몸에 전율이 몇번 왔는지 모른다.
2019.04.24. 21:50,"별점(10점 만점 중)
10",마블 시리즈 중 가장 인상깊게 본 것 같아요
2019.06.19. 12:35,"별점(10점 만점 중)
10",어벤져스 너무 그리울거 같아요ㅠㅜ
2019.04.24. 21:50,"별점(10점 만점 중)
10",너무 감동적이고 웃기고 아쉬운마음으로 아주 재밌게 봤습니당~~!!
2019.06.04. 01:33,"별점(10점 만점 중)
10",토니스타크 살려내서 10년 더 나왔으면...
2019.06.21. 14:12,"별점(10점 만점 중)
10",3시간 짜리 러닝타임을 가진 긴영화 였는데 생각나는건 아엠 아이언맨 밖에없다...
2019.12.04. 05:54,"별점(10점 만점 중)
10",3000이상 사랑해 너무 재밌은 영화
2019.04.24. 12:16,"별점(10점 만점 중)
10",완전 러블리했다...ㅜ
2019.06.19. 12:29,"별점(10점 만점 중)
10",인생에 손꼽히는 영화입니다
2019.04.30. 21:17,"별점(10점 만점 중)
10",3시간이 짧았던 영화!!마지막이라 너무 아쉽ㅠㅠ
